,url,video_id,playlist_id,channel_id
0,https://www.youtube.com/watch?v=-dQdhmGIjL8,-dQdhmGIjL8,PL6XRrncXkMaWHdqYro173ihPrqS_mdafT,UCupvZG-5ko_eiXAupbDfxWw
1,https://www.youtube.com/watch?v=o-C5V_nPSFM,o-C5V_nPSFM,PL6XRrncXkMaWHdqYro173ihPrqS_mdafT,UCupvZG-5ko_eiXAupbDfxWw
2,https://www.youtube.com/watch?v=YNs86JHmUBc,YNs86JHmUBc,PL6XRrncXkMaWHdqYro173ihPrqS_mdafT,UCupvZG-5ko_eiXAupbDfxWw
3,https://www.youtube.com/watch?v=IrSpFYA9rc4,IrSpFYA9rc4,PL6XRrncXkMaWHdqYro173ihPrqS_mdafT,UCupvZG-5ko_eiXAupbDfxWw
4,https://www.youtube.com/watch?v=EINixvEQ4Zw,EINixvEQ4Zw,PL6XRrncXkMaWHdqYro173ihPrqS_mdafT,UCupvZG-5ko_eiXAupbDfxWw
5,https://www.youtube.com/watch?v=JspGkb4ldDo,JspGkb4ldDo,PL6XRrncXkMaWHdqYro173ihPrqS_mdafT,UCupvZG-5ko_eiXAupbDfxWw
6,https://www.youtube.com/watch?v=85pBrtLh2pQ,85pBrtLh2pQ,PL6XRrncXkMaWHdqYro173ihPrqS_mdafT,UCupvZG-5ko_eiXAupbDfxWw
7,https://www.youtube.com/watch?v=u0cBFJuaJyk,u0cBFJuaJyk,PL6XRrncXkMaWHdqYro173ihPrqS_mdafT,UCupvZG-5ko_eiXAupbDfxWw
8,https://www.youtube.com/watch?v=_qrIYqzizF8,_qrIYqzizF8,PL6XRrncXkMaWHdqYro173ihPrqS_mdafT,UCupvZG-5ko_eiXAupbDfxWw
9,https://www.youtube.com/watch?v=8GsVoy90pAU,8GsVoy90pAU,PL6XRrncXkMaVg2Xd4g2icI4M36-eAozy0,UCupvZG-5ko_eiXAupbDfxWw
10,https://www.youtube.com/watch?v=xPlBPJy3bPA,xPlBPJy3bPA,PL6XRrncXkMaVg2Xd4g2icI4M36-eAozy0,UCupvZG-5ko_eiXAupbDfxWw
11,https://www.youtube.com/watch?v=xmrcFlSp7iw,xmrcFlSp7iw,PL6XRrncXkMaVg2Xd4g2icI4M36-eAozy0,UCupvZG-5ko_eiXAupbDfxWw
12,https://www.youtube.com/watch?v=Um2slptZ8_c,Um2slptZ8_c,PL6XRrncXkMaVg2Xd4g2icI4M36-eAozy0,UCupvZG-5ko_eiXAupbDfxWw
