Unnamed: 0,url,video_id,playlist_id,channel_id
110000,https://www.youtube.com/watch?v=irSvRoHbHiQ,irSvRoHbHiQ,PL7014094C8754D636,UCsT0YIqwnpJCM-mx7-gSA4Q
110001,https://www.youtube.com/watch?v=8g3iaLX-JjM,8g3iaLX-JjM,PL3284AD01E1702463,UCsT0YIqwnpJCM-mx7-gSA4Q
110002,https://www.youtube.com/watch?v=DpyVDMmrsWQ,DpyVDMmrsWQ,PL3284AD01E1702463,UCsT0YIqwnpJCM-mx7-gSA4Q
110003,https://www.youtube.com/watch?v=x7bCaSzk9Zc,x7bCaSzk9Zc,PL3284AD01E1702463,UCsT0YIqwnpJCM-mx7-gSA4Q
110004,https://www.youtube.com/watch?v=jCHaSlO2HNM,jCHaSlO2HNM,PL28D4819426F87B11,UCsT0YIqwnpJCM-mx7-gSA4Q
110005,https://www.youtube.com/watch?v=Co9elHMKxp4,Co9elHMKxp4,PL28D4819426F87B11,UCsT0YIqwnpJCM-mx7-gSA4Q
110006,https://www.youtube.com/watch?v=z0b6wfDGseU,z0b6wfDGseU,PL28D4819426F87B11,UCsT0YIqwnpJCM-mx7-gSA4Q
110007,https://www.youtube.com/watch?v=AphpvT7lUuA,AphpvT7lUuA,PL28D4819426F87B11,UCsT0YIqwnpJCM-mx7-gSA4Q
110008,https://www.youtube.com/watch?v=DDB7A8UlF_0,DDB7A8UlF_0,PL28D4819426F87B11,UCsT0YIqwnpJCM-mx7-gSA4Q
110009,https://www.youtube.com/watch?v=hNmomqvXgHk,hNmomqvXgHk,PL28D4819426F87B11,UCsT0YIqwnpJCM-mx7-gSA4Q
110010,https://www.youtube.com/watch?v=N9n223PS16c,N9n223PS16c,PL28D4819426F87B11,UCsT0YIqwnpJCM-mx7-gSA4Q
110011,https://www.youtube.com/watch?v=95jUGS9Ic-w,95jUGS9Ic-w,PL28D4819426F87B11,UCsT0YIqwnpJCM-mx7-gSA4Q
110012,https://www.youtube.com/watch?v=CgJ3pV2hL_o,CgJ3pV2hL_o,PL28D4819426F87B11,UCsT0YIqwnpJCM-mx7-gSA4Q
110013,https://www.youtube.com/watch?v=r6D3PNuh7ko,r6D3PNuh7ko,PL28D4819426F87B11,UCsT0YIqwnpJCM-mx7-gSA4Q
110014,https://www.youtube.com/watch?v=Ya3IuJx8O9o,Ya3IuJx8O9o,PL28D4819426F87B11,UCsT0YIqwnpJCM-mx7-gSA4Q
110015,https://www.youtube.com/watch?v=c4YanFjNGwE,c4YanFjNGwE,PL28D4819426F87B11,UCsT0YIqwnpJCM-mx7-gSA4Q
110016,https://www.youtube.com/watch?v=9UKTOKz1Vzk,9UKTOKz1Vzk,PL28D4819426F87B11,UCsT0YIqwnpJCM-mx7-gSA4Q
110017,https://www.youtube.com/watch?v=94tqCm3K-Ik,94tqCm3K-Ik,PL28D4819426F87B11,UCsT0YIqwnpJCM-mx7-gSA4Q
110018,https://www.youtube.com/watch?v=9JVAmGSwHgI,9JVAmGSwHgI,PL28D4819426F87B11,UCsT0YIqwnpJCM-mx7-gSA4Q
110019,https://www.youtube.com/watch?v=Og3DJAj15HE,Og3DJAj15HE,PL28D4819426F87B11,UCsT0YIqwnpJCM-mx7-gSA4Q
110020,https://www.youtube.com/watch?v=Rpt1Qu3a2b8,Rpt1Qu3a2b8,PL28D4819426F87B11,UCsT0YIqwnpJCM-mx7-gSA4Q
110021,https://www.youtube.com/watch?v=6jgWqcoXZVw,6jgWqcoXZVw,PL99DD1ABD72A520B6,UCsT0YIqwnpJCM-mx7-gSA4Q
110022,https://www.youtube.com/watch?v=ou5U_IZQHXg,ou5U_IZQHXg,PL99DD1ABD72A520B6,UCsT0YIqwnpJCM-mx7-gSA4Q
110023,https://www.youtube.com/watch?v=f27Od6lYxzQ,f27Od6lYxzQ,PL99DD1ABD72A520B6,UCsT0YIqwnpJCM-mx7-gSA4Q
110024,https://www.youtube.com/watch?v=O5p0SwJLTWo,O5p0SwJLTWo,PL99DD1ABD72A520B6,UCsT0YIqwnpJCM-mx7-gSA4Q
110025,https://www.youtube.com/watch?v=DTZkr2u-FQo,DTZkr2u-FQo,PL99DD1ABD72A520B6,UCsT0YIqwnpJCM-mx7-gSA4Q
110026,https://www.youtube.com/watch?v=_lZplTSgxwA,_lZplTSgxwA,PL99DD1ABD72A520B6,UCsT0YIqwnpJCM-mx7-gSA4Q
110027,https://www.youtube.com/watch?v=r4BHoGcwfN4,r4BHoGcwfN4,PL99DD1ABD72A520B6,UCsT0YIqwnpJCM-mx7-gSA4Q
110028,https://www.youtube.com/watch?v=4VAAnexDN7s,4VAAnexDN7s,PL99DD1ABD72A520B6,UCsT0YIqwnpJCM-mx7-gSA4Q
110029,https://www.youtube.com/watch?v=E5q4AZRCJ8g,E5q4AZRCJ8g,PL99DD1ABD72A520B6,UCsT0YIqwnpJCM-mx7-gSA4Q
110030,https://www.youtube.com/watch?v=6XRjatW_N9M,6XRjatW_N9M,PL99DD1ABD72A520B6,UCsT0YIqwnpJCM-mx7-gSA4Q
110031,https://www.youtube.com/watch?v=0_tyuZbjuV0,0_tyuZbjuV0,PL99DD1ABD72A520B6,UCsT0YIqwnpJCM-mx7-gSA4Q
110032,https://www.youtube.com/watch?v=s1LxA8cJtuY,s1LxA8cJtuY,PL99DD1ABD72A520B6,UCsT0YIqwnpJCM-mx7-gSA4Q
110033,https://www.youtube.com/watch?v=S3VKwx1u5ks,S3VKwx1u5ks,PL99DD1ABD72A520B6,UCsT0YIqwnpJCM-mx7-gSA4Q
110034,https://www.youtube.com/watch?v=HDrg1ENN06A,HDrg1ENN06A,PL99DD1ABD72A520B6,UCsT0YIqwnpJCM-mx7-gSA4Q
110035,https://www.youtube.com/watch?v=jsQQ1bR6Hbs,jsQQ1bR6Hbs,PL99DD1ABD72A520B6,UCsT0YIqwnpJCM-mx7-gSA4Q
110036,https://www.youtube.com/watch?v=viSBNHifO6g,viSBNHifO6g,PL99DD1ABD72A520B6,UCsT0YIqwnpJCM-mx7-gSA4Q
110037,https://www.youtube.com/watch?v=lBaYfJyrSXo,lBaYfJyrSXo,PL99DD1ABD72A520B6,UCsT0YIqwnpJCM-mx7-gSA4Q
110038,https://www.youtube.com/watch?v=lHMyaSWjoIk,lHMyaSWjoIk,PLDE7C8EB3B45B7B7E,UCsT0YIqwnpJCM-mx7-gSA4Q
110039,https://www.youtube.com/watch?v=gpth6qmfh3E,gpth6qmfh3E,PLDE7C8EB3B45B7B7E,UCsT0YIqwnpJCM-mx7-gSA4Q
110040,https://www.youtube.com/watch?v=phZanjdIgOQ,phZanjdIgOQ,PLDE7C8EB3B45B7B7E,UCsT0YIqwnpJCM-mx7-gSA4Q
110041,https://www.youtube.com/watch?v=jQYXTP8gpBI,jQYXTP8gpBI,PLDE7C8EB3B45B7B7E,UCsT0YIqwnpJCM-mx7-gSA4Q
110042,https://www.youtube.com/watch?v=3mgEA3C1ciM,3mgEA3C1ciM,PLDE7C8EB3B45B7B7E,UCsT0YIqwnpJCM-mx7-gSA4Q
110043,https://www.youtube.com/watch?v=A7CxKUPpM_U,A7CxKUPpM_U,PLCC72EAC7207EA55B,UCsT0YIqwnpJCM-mx7-gSA4Q
110044,https://www.youtube.com/watch?v=kICXK4qLJro,kICXK4qLJro,PLCC72EAC7207EA55B,UCsT0YIqwnpJCM-mx7-gSA4Q
110045,https://www.youtube.com/watch?v=awTs5zH-4G8,awTs5zH-4G8,PLCC72EAC7207EA55B,UCsT0YIqwnpJCM-mx7-gSA4Q
110046,https://www.youtube.com/watch?v=0gMqC4VfYi0,0gMqC4VfYi0,PLCC72EAC7207EA55B,UCsT0YIqwnpJCM-mx7-gSA4Q
110047,https://www.youtube.com/watch?v=S63Cy64p2lQ,S63Cy64p2lQ,PLA8F321A860AD52FF,UCsT0YIqwnpJCM-mx7-gSA4Q
