,video_id,index,extracted
0,XNu33CTnrnE,0,0.0
1,8N6YoOUS2Eg,1,7.0
2,dlSJEt2iyCo,2,
3,EvxoIo73wFA,3,1.0
4,FqSOReTFkkg,4,
5,dFdWwJKB7FA,5,3.0
6,djvDPk2oaqM,6,
7,dM7axZfjBvU,7,
8,jKgalEqEBNo,8,
9,BuDvAthR6HU,9,
10,uAl_JHr30jA,10,1.0
11,Y7t2H4RE9p4,11,
12,hJQkIQQPwXI,12,0.0
13,D9nr7aYC0To,13,
14,MCNpdlv9-3s,14,
15,HsixVTWitqQ,15,
16,gimQ-xLuFAI,16,
17,YUnIk-fETyA,17,16.0
18,q8kmdC1VBTI,18,4.0
19,_3vzoeJVCRc,19,
20,YU1KvGJ4XZs,20,
21,1pcnKbaTQBw,21,
22,Ti1RLwFNvEk,22,
23,Okfswd8Th0w,23,0.0
24,3tkIWqLSs8I,24,
25,sGB30XvH3iE,25,
26,aoyTTy0RBVs,26,
27,3FN7sBdYtf4,27,
28,dLFTBoIfc6k,28,
29,JvFNFXfc-Ns,29,
30,eJCywqfRxH8,30,1.0
31,0i03UgWyWxA,31,1.0
32,dSn-RBs1s8c,32,
33,fPzQAlcSYiU,33,4.0
34,sCDkdER4RIw,34,
35,tFZXaeeMykc,35,4.0
36,q_eE-nCkYwI,36,5.0
37,r_OOomRDloU,37,
38,px1AbOxdg70,38,
39,YV89BxVhMKA,39,
40,GHMHQtsodzw,40,0.0
41,4DQP2MleGL8,41,
42,Mp_jbvp3eoU,42,
43,4VU_uYVz6eI,43,
44,1aq29syG34k,44,0.0
45,i6cSPG2ZD-g,45,4.0
46,KzoPlQ-QNSo,46,0.0
47,ADYocdN3Mmo,47,
48,eyLmFEZwVK8,48,4.0
49,p73lkp-R_8c,49,
50,DDvhy5Zp-3c,50,2.0
51,HVpqu7EDKu4,51,0.0
52,rVzXKlHZ01s,52,
53,VN9-PFCJMQQ,53,
54,6S4E1qVYSx4,54,4.0
55,AR7cNDK-XzI,55,
