,video_id,index,extracted
0,h2D4iVR-XRQ,0,
1,2Trsy5XUHEg,1,0.0
2,bYFLMsjRd2E,2,
3,0dbHk_-m30I,3,3.0
4,5kxM6dvxAxw,4,
5,62cXhPPh4iM,5,
6,FZYZlIBLaIM,6,9.0
7,V4up9jiMrUk,7,0.0
8,RayNBiEqZgE,8,
9,TLWUFQYCw4M,9,
10,6uIASpglGfE,10,
11,8Y2NxbjtmPM,11,5.0
12,BOVNblJShVI,12,
13,neZdxOOGZTw,13,1.0
14,7JNHU4nlypA,14,6.0
15,b-ctJY4dnP4,15,
16,wf7vDtF-Ggs,16,7.0
17,lJ2SBeEeZRQ,17,
18,spZk3w3bkjk,18,
19,0DeoQIDJw0Q,19,3.0
20,sNXr_UfNlmo,20,5.0
21,AHDCBU0zIv4,21,
22,H0JWZFdm_2I,22,0.0
23,gDsz31lwFZg,23,
24,yLAISlFh-B0,24,0.0
25,ieE-_x8dLao,25,8.0
26,e5BpTihY4jY,26,0.0
27,049H71Itoxk,27,
28,KHMvZJsCWa0,28,
29,8IVKqyv0ZoQ,29,
30,ONRQZshyrPI,30,
31,jFUHJx9v6EA,31,
32,XjfAzv5-XvY,32,
33,NGUprju4PoE,33,
34,ouXAU0XpbvU,34,0.0
35,uL6ujbR3brg,35,
36,6QJr1xjqBL8,36,
37,f8gSDF3HqOg,37,
38,Wjq5Sh0vlZ4,38,4.0
39,GpsOSpnhUQ0,39,
40,dnkjP6sswOg,40,0.0
41,FZnYpmUgdK4,41,
42,Ej_hBJQm5-A,42,
43,3zMvAnGz-lg,43,9.0
44,JkVN2jODo-I,44,6.0
45,qxyK5qTsG0o,45,6.0
46,Fadr2KIlY3c,46,
47,VIpMZs1jgFI,47,
48,j2zvX_qzKMk,48,
49,u-m1TduGVZQ,49,8.0
50,1HQ6tMZwDWc,50,
51,ohG8aclb2_4,51,
52,rdl1ydlf2GA,52,
53,S9a4GABNQ2o,53,
54,9vZ2bILK3VE,54,
55,x1EaLm6gAUk,55,3.0
56,ZPpPPxDikRI,56,
57,PcQwuJo9nK4,57,
58,wmln9eIa9l4,58,10.0
59,5yyFeEhgttU,59,
60,X2ziMh9hUtg,60,
61,zDsF-TbTN9Y,61,
62,a7_hD3R8LQg,62,1.0
63,HpWK4ky4Ju8,63,
64,kaSBZbeRIwo,64,
65,1e8I_IeM3L4,65,5.0
66,kOiF_oMffLk,66,2.0
67,wSE5kjGcOqI,67,
68,Qk4aXmZfKl0,68,17.0
69,TOdCQyJtCK0,69,9.0
70,aUCtnW9chTc,70,
71,_ZRFVCmOwNM,71,
72,DqQPaZFmGlA,72,7.0
73,mlwQNVY9d2Y,73,
74,ocI7zRGVspg,74,
75,xtsE22tf_fA,75,
76,9Z2l8wvKXdk,76,
77,42mesIUG3kI,77,
78,1L_ETq2YNfo,78,
79,rJFk5bSMTik,79,0.0
80,ljF_XWBVavI,80,0.0
81,uIeuxe5eDUY,81,0.0
82,Y6brIQotgFw,82,
83,F-zUxn-uZ3w,83,0.0
84,s8nJENUOBKQ,84,0.0
85,Oyrw4MbiFQQ,85,9.0
86,20ZyeD6Uv2Y,86,3.0
87,p8exgDrJovg,87,
88,poePUXU9xHQ,88,2.0
89,k2SLCjIcQHg,89,
90,IYVDW86_6ws,90,
91,3s3iRqfhvuE,91,1.0
92,3VdGP-Oj2TA,92,
93,SJNnHqW2fts,93,
94,lh-Z6uVkuyc,94,
95,UqcpDfhEZNk,95,
96,vkGm9zdETPw,96,2.0
97,8CiN2eGmvlU,97,
98,_yoTuGVkOPQ,98,7.0
99,Ei7DXR4-4Sw,99,25.0
100,h5KF87nNynY,100,
101,8MT6zItby6I,101,
102,pvyFx5JYONs,102,
103,NgNzPRe19jo,103,
104,QgRqgZrqnJQ,104,
105,rmIEZnaxHmI,105,
106,0wPrsYdiqp4,106,
