,video_id,index,extracted
0,bltB7f4iwxk,0,3.0
1,EIABGCJfXkY,1,
2,JAS9D_kChtY,2,0.0
3,YRICHqnWZgk,3,
4,a8T-OATMz_s,4,
5,P8EoYN9EhD0,5,
6,2rZHlOMCppI,6,
7,juYo7aTKQcg,7,8.0
8,hWWiDUbMHuA,8,0.0
9,oRICmsfkPUY,9,2.0
10,FplmDsRNV-E,10,0.0
11,WIiJLZ4zsyI,11,0.0
12,iXnD_FQuDww,12,4.0
13,p_ulYrplTxI,13,23.0
14,fYN-WrJ-22Y,14,
15,MqsAH2N0b2k,15,1.0
16,sKOFpKnFZzU,16,3.0
17,j9Kp2gj8HQs,17,0.0
18,tPGW13WPcbw,18,
19,CO10bryRcWE,19,
20,623NjElR1TI,20,
21,sGdPQMj8RbQ,21,1.0
22,jkPJ-wRL0fE,22,0.0
23,8SKDsSH7_YM,23,
24,_V_y2eX7bm0,24,2.0
25,l-hHF7EuHKM,25,5.0
26,RHOOSDAPSBc,26,0.0
27,Idy3tElQRLg,27,
28,7XOByEP6K1k,28,2.0
29,XpYn7_GuOjc,29,0.0
30,FLgBmMTVTcY,30,
31,NobO0UTTsII,31,
32,8kanAgrJxh8,32,1.0
33,KqxIa53T0oo,33,3.0
34,n6WI9w4JqMw,34,8.0
35,NZLanB-8mhY,35,
36,atXLvjtgY8I,36,7.0
37,DZL93FfrkGs,37,0.0
38,Fwr6GUk7RMs,38,
39,2K8FFx0jV-M,39,1.0
40,hhqUb69iUvo,40,
41,uhbe1mTDWYs,41,
42,9gxg9sZ0nps,42,
43,tmASJmpPe_A,43,0.0
44,_erFYjUyV50,44,
45,_h5sCJMsjq8,45,
46,Z0q_NBvUZn0,46,
47,J3b6en_q71Q,47,
48,ePjxYN_BJaQ,48,13.0
49,a8ww53wL2tY,49,1.0
50,R7tu2W8pvzE,50,6.0
51,_iNMsY_kqwA,51,0.0
52,lo8lJCZnHok,52,
53,dzteuMA75qM,53,4.0
54,cwbcO3lLLek,54,3.0
55,nr4R-HBNVjI,55,0.0
56,qF_U6ZITCNk,56,
57,GFOCDv-AC8Y,57,4.0
58,OLBYoit4c8o,58,
59,t6b4751sV44,59,
60,6OK4A4Gm6p0,60,0.0
61,fSN82hrmpvI,61,
62,hzY2XNH3lcE,62,0.0
63,TMzZPd9tTgg,63,
64,vdD9z8GK1OY,64,
65,2S5glJnOvhg,65,1.0
66,99AaXBCwjn8,66,
67,O-IT9DbFh9M,67,
68,toFim4cj02Q,68,5.0
69,HY3IUWUxAhs,69,
70,ZkGtM7j5rVA,70,
71,aPW8P1Jo_GY,71,
72,kOEwtT4rMKo,72,
73,6k2b-21HqC4,73,1.0
74,7joCe1pQ5cI,74,
75,MCeRdZXUWHQ,75,
76,tfWRXBcOt_4,76,
77,wlyIeIit1kg,77,3.0
78,YM0zSU8f3lo,78,
79,jkDgJsdDOPY,79,4.0
80,DtV33gwqRuI,80,0.0
81,0qPAtiILNF4,81,
82,KubpIq8k5XM,82,2.0
83,cIzOoIwXPzE,83,
84,OLaHIr6-oeA,84,
85,HQd-HEyWC88,85,0.0
86,FY_wI4tqfYc,86,0.0
87,W3dkDAwGh54,87,
88,oFvB-1XKlmE,88,3.0
89,zxxga7qsOq0,89,15.0
90,gsO0v0f3HpA,90,
91,3Vg3I_Aku5Q,91,
92,iyWeZK7Ob34,92,0.0
93,MWPMkaEAcyA,93,15.0
94,mLQmex9igxI,94,
95,2FZGONeEWR0,95,
96,Rb85XbhonJ0,96,
97,68Ql6mECfEE,97,0.0
98,cKoNeppunxQ,98,
99,z68qUixvZpc,99,1.0
100,SwYdmRgSKfA,100,
101,8kzlBQpwWC4,101,0.0
102,deWZRrwNdFE,102,
103,NluAyToqwC4,103,7.0
104,Tz966245liw,104,6.0
105,W0sl0r_XXc0,105,2.0
106,OOUr15PZG_M,106,
107,ItBlppZX8wM,107,4.0
108,nRhj_hLj-eE,108,0.0
109,Li8AZKjQJEM,109,0.0
110,o91oh2bYu4Q,110,
111,nPo7L4GfLFg,111,
112,QcPSR2dH6hc,112,15.0
113,VxhtEkSGZLQ,113,0.0
114,CgSxd-g9ZN4,114,0.0
115,FSfV5eNhVZg,115,
116,crJr5aOJv5Q,116,1.0
117,OJ6GCszfsXg,117,
118,Spacbob5KXs,118,
119,jxUhlNsyKtA,119,
120,hAGPKp8O2WE,120,
121,ov-46K2Bifw,121,0.0
122,vmvSbUQBXoc,122,
123,ZkqL6WUDPaI,123,
124,RafFZjkgZMQ,124,0.0
125,W4nnv49pw5o,125,3.0
126,NbP61YiA8dI,126,
127,9ZL0tfho0Io,127,9.0
128,wVWHokMFgWM,128,11.0
129,NJ-ssPyWjx8,129,0.0
130,vqXYLQmH9E4,130,
131,_95GcvrQtzY,131,
132,xlLrMR9O0pI,132,2.0
133,39o-tH1Din8,133,
134,ashhOH6XMIk,134,1.0
135,3OCHME7NoQY,135,
136,2d3R_zOWHCc,136,0.0
137,lJoTdi6Onts,137,3.0
138,zo4jTwcODco,138,
139,ssICaDDjFAQ,139,
140,omHiGHNt05Q,140,
141,CcHfFOr6190,141,
142,KgH8n31ggE4,142,1.0
143,DLDYlVU32rI,143,0.0
144,_0eT3hUFcFY,144,0.0
145,s5B4QW7uCsI,145,3.0
146,mACExiHMpxM,146,
147,V4ln4FIglSE,147,
148,HzFd0kZH1Go,148,
149,OvZtvWccdj8,149,
150,1Ydoxj4E4Ig,150,3.0
151,DNN7gH3Kw5k,151,0.0
152,Clcayi8xMnI,152,7.0
153,DbbNvzz2Jkk,153,
154,UrMc4kYMZ5w,154,
155,1I8UO8XnNH8,155,
156,wz8jhoByfho,156,
157,leVtcFLckgU,157,3.0
158,8wv5uMJNsQk,158,
159,JkXPIXOYadI,159,
160,qZZ8CrtRQRA,160,
161,AKQxg9v4Ph0,161,1.0
162,m0AprcpqyEU,162,
163,YV8rvE-bqHI,163,
164,bFhBJkL3OrM,164,
165,oj05hZH8YCg,165,2.0
166,J8fbA0SVy2s,166,2.0
167,7dlrGa5JhrA,167,
168,rdgzpNeYLxo,168,
169,3yB0WQXL0OA,169,3.0
170,DIBjgYoNEy0,170,
171,B4MR0KioBys,171,
172,7C0Ug_7pKgw,172,
173,GK-w6H_n6bI,173,2.0
174,czKj61HL9OE,174,5.0
175,TS-ISJWWfaY,175,
176,24s5Iwp82r0,176,
177,DbNUyllUC9M,177,
178,RYi_DFAypgI,178,
