,video_id,index,extracted
0,GbUau3v-p6g,0,2.0
1,i_IwT2941wQ,1,
2,hyinFOB5q98,2,
3,D0LpVyiWUJs,3,
4,WcYr-VBfq-0,4,1.0
5,Eh5rxgKwNa0,5,
6,68az6PGaGyc,6,
7,HzT1BibH9vY,7,
8,pU7hvhNAeYI,8,
9,3itS0XA1Ze0,9,
10,d0LKVT10C40,10,4.0
11,TvH_nS0IGDo,11,
12,1lSk2eaZE40,12,
13,tg9Yk19-Yyc,13,12.0
14,GsrQoRPD23s,14,
15,_strxlOO8sk,15,
16,qbsrY54n_ko,16,2.0
17,1sFsrZTXeyg,17,
18,lKj9u_0s-FE,18,
19,sSqSo5bafrs,19,0.0
20,xfZucXxKV-U,20,
21,psjidrj-HE0,21,6.0
22,4z6Z1OqJM-o,22,
23,kwoJioKMKUY,23,
24,0OIeT_T9WVE,24,25.0
25,nDOyaT1FOho,25,10.0
26,XWvsHbVApzE,26,0.0
27,qe1DRlm9xgk,27,31.0
28,OLoWa-gn-8I,28,
29,pVBfzlO2YIM,29,1.0
30,c3YgzXBTNnw,30,4.0
31,39_4HuTV380,31,
32,CoV5sc-L9Qg,32,
33,VWMLxVhW45I,33,2.0
34,PnihJsWcN6c,34,2.0
35,X-27bSkKYYI,35,
36,UOu-z_3Odi4,36,1.0
37,rCqw4L0yuD4,37,
38,USr9lDfM7Yw,38,0.0
39,iKTsf-9Ieuw,39,
40,irI6XUfvR1Y,40,
41,T-jIQlNRe-o,41,
42,3cPIhfKB08w,42,
43,ciokkMff-pY,43,
44,3lomCi2FrFc,44,3.0
45,j12HPk9gROQ,45,0.0
46,f7yZbC3uszs,46,
47,xbZbFUuE9Fk,47,2.0
48,CcuhdRz7xTc,48,2.0
49,4KXpT4VNdPE,49,8.0
50,yqjXwgjgk5A,50,
51,jt1Eou8vHHM,51,
52,X8TJ86LkSNk,52,2.0
53,Ah_gHvG6TMQ,53,
54,i8pyBLzlzbU,54,0.0
55,IYHQWvvg4cA,55,1.0
56,c3dtD1SNkTU,56,
57,RhGrSK9ndak,57,
58,lM2KCAdSQ30,58,
59,Gg6TChRkum8,59,
60,zVrdYe-Im7I,60,2.0
61,T-sqPQCmW30,61,0.0
62,D6sFVrYJBmE,62,1.0
63,XRu14fcZqq0,63,
64,pz2hCcFn5f0,64,
65,HzJxLnSFilg,65,9.0
66,DwHrXUuolfE,66,
67,6mrsoPe2VX8,67,2.0
68,zTzkV4ydCBk,68,
69,5Qv_DKgYe_k,69,3.0
70,BA1hL2j7biw,70,2.0
71,l1knD2cWjpc,71,
72,2pM9XmSmPhc,72,
73,RSw9nx_xM8Y,73,
74,NKAOLNWEKD8,74,1.0
75,URK2EWm5mvI,75,
76,j03dx8VyGWE,76,2.0
77,vjK2hfxZ2u8,77,
78,1JbHTfTZDCc,78,
79,RD9AyjzqW3g,79,
80,qvpaFVOg3wA,80,9.0
81,AibQX_m7D3U,81,
82,6wiU9Hv1rFg,82,
83,SDyF8ZwIONQ,83,
84,DFQcp-OZV6Q,84,
85,BX7tBMvvl5o,85,
86,lg6ATeWaihU,86,1.0
87,AfYleX3-Yj4,87,
88,aEy_o8f-6-I,88,
89,X8H8gVas7zE,89,
90,H_RMBQTeg2o,90,1.0
91,QUFabAvzZj0,91,
