,video_id,index,extracted
0,5N-rOMqdpsU,0,0.0
1,TkMYjktait8,1,3.0
2,UgWegWR3_Qg,2,
3,UAF_9r0NN7Q,3,0.0
4,DSaA4VoTCxk,4,2.0
5,gzInhnm8Mu4,5,10.0
6,0-lD8_Z69FQ,6,
7,Kn6j1WhJfUI,7,1.0
8,wukUEpBkhxs,8,
9,em2xdi7EwP8,9,
10,KIuimjehBvo,10,
11,LuxX53goRKw,11,
12,a8XGgnS7NXA,12,
13,BwvrOwCIz3M,13,0.0
14,Pft5yfg3vvM,14,2.0
15,XW5OS8Zfy50,15,
16,Kj2XCtx9KKo,16,
17,TSwTyH4HI9Y,17,
18,ff7no7UuIrs,18,
19,ANeQxTqsTQI,19,
20,YOUqL1n82sE,20,3.0
21,mn3s9ZOgY6E,21,
22,ofUAKvyAENg,22,0.0
23,t2edcbPbBkw,23,1.0
24,wqWjmJxel7k,24,
25,G6axA4f-Wp8,25,
26,nLlqQx0xxxQ,26,1.0
27,M7L53eN0rWY,27,0.0
28,1vBPlkzLvQQ,28,1.0
29,Nq-Md4G_2TU,29,18.0
30,jenIFZwAg1w,30,14.0
31,MhahWZVQOHw,31,
32,ThrYwQbA4uA,32,0.0
33,p3StCWfD-oo,33,
34,7SH2jZwM-MA,34,0.0
35,CrQnBDAwVzY,35,
36,9JHdCG-Jpfs,36,
37,yUhX3VJWxmY,37,
38,rCIvNZXpaPE,38,9.0
39,_LHYK9D2gdk,39,6.0
40,APKWVDwJsLA,40,
41,Adfez7QCB70,41,
42,p1KCFObSQu8,42,
43,NNXZ8tEKY_4,43,2.0
44,_uMiWGS0CYU,44,0.0
45,NV4_evMJJm4,45,
46,l_DjLvD-LEk,46,
47,uAS_haTyu0k,47,3.0
48,dMh8gPlPoOQ,48,
49,Fa73BCFYi9U,49,
50,XnNmagp2NPM,50,
51,Kx8b9xvyMCc,51,
52,HPLis_EypnY,52,
53,Xkt63jfYSQM,53,3.0
54,qd1rgtDwmHc,54,12.0
55,WZyBL8y7pIc,55,
56,428gTI21_Kw,56,5.0
57,gUU09b2zbTc,57,0.0
58,iZN--0Msips,58,0.0
59,ib0W8GSvbd8,59,
60,Zhf0EQtuXSY,60,1.0
61,WhHOVC1YviY,61,0.0
62,IGGd3IaDiII,62,
63,ht84eswVaJU,63,3.0
64,c1gTN3sgXjk,64,
65,_BbYZKtFe8M,65,
66,1QYJY6fIWpw,66,
67,Yegbe-ywrtQ,67,1.0
68,jo84gX0_6t8,68,1.0
69,V4Zd2S6ujlk,69,
70,nDEe64tO_ig,70,
71,jq3FeY5t_fM,71,
72,_z6bUvS-iCU,72,0.0
73,_V4YxWUlDXQ,73,
74,HReEJRdA98U,74,
75,Yykt15z7EqI,75,0.0
76,kqDKqxYYhJ4,76,
77,qFH3vmHmNh8,77,9.0
78,09RPXcIzZ90,78,3.0
79,wPfRML9_X6Y,79,
80,D5uc435nO1Q,80,1.0
81,QpFuvlgo7E4,81,
82,MHjbVzisYNY,82,
83,BlMuXcWVtNM,83,7.0
84,3BfPqCKW0Wg,84,1.0
85,NQvbrpxNe6Q,85,7.0
86,s4yd0o4Azrc,86,
87,U9DGz1awDzQ,87,
88,pdrhPui9I7Q,88,
89,WKuGQyHdW9c,89,
90,jrsbpADthIY,90,
91,ScvtjiGqT7M,91,
92,xR8GkzK5Zcc,92,
93,dVcnOe0k4t4,93,6.0
94,g5zCGDdWGbo,94,1.0
95,0nPIgeg84qc,95,2.0
96,Y0JmZk3CVH0,96,
97,XNiGrD1Egfo,97,9.0
98,fKPuVY6b9rI,98,9.0
99,FGHGaRla_-8,99,0.0
100,6kQX7H26vXI,100,
101,27LwmEOKedU,101,8.0
102,hH3CvaDoVMs,102,
103,732qBYxjYaI,103,
104,C4DaSBpOSrY,104,
105,xTMvKBZWdCA,105,2.0
106,P3ThxoOx-7M,106,
107,RtiKXaqJljQ,107,
108,1i4leav1nFc,108,5.0
109,IY5lXv6L2jk,109,
110,U-RiAUvgCtU,110,1.0
111,xC5Wq5LNgRw,111,
112,DIrOkvZ3qsQ,112,
113,fGNv5JEzh8s,113,
114,UF1anUUlEKY,114,10.0
115,HjpKgQttXkc,115,
116,T685iEeZ6XQ,116,
117,Y_7R9DHI3jg,117,2.0
118,flGvvV5rv2M,118,
119,jFCeV1o3Nig,119,
120,p8vHa9N-pcY,120,
121,CgB_8Dy7uDE,121,2.0
122,8krRKmN1uUo,122,0.0
123,Z4MKjMJv8vs,123,12.0
124,K-ziESr8QbQ,124,21.0
125,VcRZDJ53v2Q,125,0.0
126,Db-JrbhFSGc,126,
127,5A6SDPMxPAc,127,
128,Gwkw7iwWVQM,128,1.0
129,z5okoR9wDoU,129,
130,tfyB3OA0WXo,130,
131,fbZoxrVksa4,131,5.0
132,4J3jBszRdm8,132,
133,t-p22cOwNYU,133,0.0
134,gEhQdxXz7_Y,134,
135,VjEWDU3dKPs,135,
136,khhZXDR4FTk,136,9.0
137,SbOiCo0Jyfg,137,8.0
138,LBfTXUrNpwE,138,
139,QqDE6J7sEMM,139,3.0
140,5tQQl9MQatM,140,
141,mGQIFAZ2Ago,141,
142,3wzQP7eV1uA,142,8.0
143,rLJSGghstuU,143,6.0
144,ysZ9fGMpg1w,144,
145,93XMULnra_o,145,0.0
146,tLHTe_vV5So,146,3.0
147,rzKzzFUCGvc,147,0.0
148,7lRXZmbGjmo,148,
149,kLta2A3nXjk,149,3.0
150,bRJS7-6SAcQ,150,
151,ff-EvxP4Z1c,151,
152,CJEXgUIr3CA,152,
153,L1PcCYJQVEY,153,2.0
154,jC9uOAwymcA,154,
155,dhINxDOKC4A,155,0.0
156,YKGlq90DlHk,156,1.0
157,fgZWSZqpjZQ,157,0.0
158,64SnJemMVxM,158,7.0
159,y8-ok7AImks,159,
160,YWtGUBVrEJ8,160,
161,V79KPpDaVBg,161,
162,gtBwGVvI-L8,162,5.0
163,sKRDDfoxEG0,163,
164,rJjd4iaFasI,164,
165,5txrk1HDcAI,165,0.0
166,msDQLbbSPtY,166,
167,nmFW0af-lfQ,167,
168,SnRpKxTgdUI,168,0.0
169,vtoMY0lrpCA,169,3.0
170,00ZxjFU0PGw,170,
171,i5zYf2NTCf8,171,
172,WsaI-4aPr9c,172,
173,quvpwDBViFg,173,0.0
174,r3hlw0i2ErA,174,
175,GAwn93H49Ww,175,
176,01vgI3YZjgg,176,
177,E-UzxqpPLc8,177,0.0
178,eanBLUn5BYI,178,5.0
179,aSHE0AlyVOg,179,
180,Y7buWneIsWU,180,
181,jlAJ6E5CscE,181,
182,Fe4Tjf1apC4,182,0.0
183,LdBrliLpUCM,183,
184,IlA81oQUc4A,184,
185,fJuld-YiI9o,185,
186,iBS85pbDu0Y,186,
187,VqcO__-a2B8,187,
188,SVuOghPe2XQ,188,
189,C96PzFq-zz8,189,
190,mEaI8Usbi84,190,0.0
191,pGCT1RfcL68,191,1.0
192,pJv-gRgOBBQ,192,3.0
193,Sg5FJbIeBPs,193,4.0
194,bLXip7ZI2Pc,194,0.0
195,ObjiRf84RyI,195,
196,i4v2cXo9HIQ,196,0.0
197,OiBPVC-jF6o,197,
198,aXDQiF7BKqI,198,
199,XdYueqHZdIc,199,1.0
200,E2I5p2IEisU,200,11.0
