,url,video_id,playlist_id,channel_id,index,extracted
0,https://www.youtube.com/watch?v=QP3qdh1phwM,QP3qdh1phwM,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,0,17.0
1,https://www.youtube.com/watch?v=3b1dGj1SGsM,3b1dGj1SGsM,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,1,3.0
2,https://www.youtube.com/watch?v=7lu8vDgM9pU,7lu8vDgM9pU,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,2,5.0
3,https://www.youtube.com/watch?v=dqZJZ0z9FmA,dqZJZ0z9FmA,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,3,0.0
4,https://www.youtube.com/watch?v=zify2_oN7EI,zify2_oN7EI,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,4,9.0
5,https://www.youtube.com/watch?v=wb6zZfakPJ0,wb6zZfakPJ0,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,5,13.0
6,https://www.youtube.com/watch?v=ChRCmTPExqM,ChRCmTPExqM,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,6,2.0
7,https://www.youtube.com/watch?v=PF4NZtd6NWI,PF4NZtd6NWI,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,7,6.0
8,https://www.youtube.com/watch?v=Ie8cEUzMuKE,Ie8cEUzMuKE,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,8,0.0
9,https://www.youtube.com/watch?v=aBzuIp7AfX4,aBzuIp7AfX4,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,9,7.0
10,https://www.youtube.com/watch?v=cFhWoXTg7F8,cFhWoXTg7F8,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,10,2.0
11,https://www.youtube.com/watch?v=fe__rFo-eCM,fe__rFo-eCM,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,11,6.0
12,https://www.youtube.com/watch?v=R4OQzkPzHNU,R4OQzkPzHNU,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,12,11.0
13,https://www.youtube.com/watch?v=EsjNSYkfdRA,EsjNSYkfdRA,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,13,1.0
14,https://www.youtube.com/watch?v=TjAwqAb0XEs,TjAwqAb0XEs,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,14,2.0
15,https://www.youtube.com/watch?v=-KR5OVPLotU,-KR5OVPLotU,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,15,13.0
16,https://www.youtube.com/watch?v=I3Bei_2PUQE,I3Bei_2PUQE,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,16,10.0
17,https://www.youtube.com/watch?v=Bq-HJM9dg9Q,Bq-HJM9dg9Q,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,17,0.0
18,https://www.youtube.com/watch?v=838DlUupIyM,838DlUupIyM,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,18,6.0
19,https://www.youtube.com/watch?v=LyJ9-QXW7hU,LyJ9-QXW7hU,PLEb3ThbkPrFbU1zVkevSHPfehOG5CMWGJ,UC8p1vwvWtl6T73JiExfWs1g,19,6.0
