,url,video_id,celeb,index,extracted
0,https://www.youtube.com/watch?v=ML7x54ZCf8g,ML7x54ZCf8g,Kajol,0,0.0
1,https://www.youtube.com/watch?v=f6a7RCiLaCM,f6a7RCiLaCM,Kajol,1,0.0
2,https://www.youtube.com/watch?v=qIdnZQztsYk,qIdnZQztsYk,Kajol,2,0.0
3,https://www.youtube.com/watch?v=w1Dp2lPB1Q4,w1Dp2lPB1Q4,Kajal Aggarwal,3,0.0
4,https://www.youtube.com/watch?v=BBa3V3otwTQ,BBa3V3otwTQ,Kajal Aggarwal,4,0.0
5,https://www.youtube.com/watch?v=HGV36QiJ68I,HGV36QiJ68I,Kajal Aggarwal,5,0.0
6,https://www.youtube.com/watch?v=c9_FHZYqKzw,c9_FHZYqKzw,Kajal Aggarwal,6,0.0
7,https://www.youtube.com/watch?v=EWFc6xOgQQg,EWFc6xOgQQg,Kajal Aggarwal,7,0.0
8,https://www.youtube.com/watch?v=FrW9lNWvCzA,FrW9lNWvCzA,Kajal Aggarwal,8,0.0
9,https://www.youtube.com/watch?v=8ZlIshQAvb0,8ZlIshQAvb0,Kajal Aggarwal,9,0.0
10,https://www.youtube.com/watch?v=wCc7ymBFlfE,wCc7ymBFlfE,Kaisa Mäkäräinen,10,
11,https://www.youtube.com/watch?v=wYZqENDPc0A,wYZqENDPc0A,Kailash Kher,11,0.0
12,https://www.youtube.com/watch?v=9KDLdwjmxZI,9KDLdwjmxZI,Kailash Kher,12,0.0
13,https://www.youtube.com/watch?v=Ql41CA1g-pY,Ql41CA1g-pY,Kailash Kher,13,0.0
14,https://www.youtube.com/watch?v=eTQBNAN_c7Y,eTQBNAN_c7Y,Kailash Kher,14,0.0
15,https://www.youtube.com/watch?v=gAPoBodQ2rA,gAPoBodQ2rA,Kailash Kher,15,0.0
16,https://www.youtube.com/watch?v=tAakH8bUALI,tAakH8bUALI,Kailash Kher,16,0.0
17,https://www.youtube.com/watch?v=sYYRnjuhms0,sYYRnjuhms0,Kaiane Aldorino,17,0.0
18,https://www.youtube.com/watch?v=7OWGNvmg0Yc,7OWGNvmg0Yc,Kai Greene,18,0.0
19,https://www.youtube.com/watch?v=QEjRvof1IbU,QEjRvof1IbU,Kai Greene,19,0.0
20,https://www.youtube.com/watch?v=BwxA840JP8I,BwxA840JP8I,Kai Greene,20,0.0
21,https://www.youtube.com/watch?v=aVjLIxMC9z0,aVjLIxMC9z0,Kai Greene,21,0.0
22,https://www.youtube.com/watch?v=oSBXnwbxtF8,oSBXnwbxtF8,Kai Greene,22,0.0
23,https://www.youtube.com/watch?v=X0gImlXhlqM,X0gImlXhlqM,Kai Greene,23,0.0
24,https://www.youtube.com/watch?v=X8oMPZO38C8,X8oMPZO38C8,Kai Greene,24,0.0
25,https://www.youtube.com/watch?v=LW3CqQUzGdk,LW3CqQUzGdk,Kai Greene,25,0.0
26,https://www.youtube.com/watch?v=gFTkqYcb73A,gFTkqYcb73A,Kai Greene,26,0.0
27,https://www.youtube.com/watch?v=AtQFSbMF0jA,AtQFSbMF0jA,Kai Greene,27,0.0
28,https://www.youtube.com/watch?v=x3CaXsWUtIk,x3CaXsWUtIk,Kai Greene,28,0.0
29,https://www.youtube.com/watch?v=FhQ7VBxgvCw,FhQ7VBxgvCw,Kai Greene,29,0.0
30,https://www.youtube.com/watch?v=R-_QDJDOw9g,R-_QDJDOw9g,Kai Greene,30,0.0
31,https://www.youtube.com/watch?v=Jq8NF5QOc9w,Jq8NF5QOc9w,Kai Greene,31,0.0
32,https://www.youtube.com/watch?v=U0XAWeqM6M8,U0XAWeqM6M8,Kai Greene,32,0.0
33,https://www.youtube.com/watch?v=rcia79fBZnM,rcia79fBZnM,Kai Greene,33,0.0
34,https://www.youtube.com/watch?v=YRHqaWidfXA,YRHqaWidfXA,Kai Greene,34,0.0
35,https://www.youtube.com/watch?v=gH22NzOarxE,gH22NzOarxE,Kai Greene,35,0.0
36,https://www.youtube.com/watch?v=j_2RqKYW2N0,j_2RqKYW2N0,Kai Greene,36,0.0
37,https://www.youtube.com/watch?v=C9TWVAVbeKA,C9TWVAVbeKA,Kai Greene,37,0.0
38,https://www.youtube.com/watch?v=e2IseVEvt3I,e2IseVEvt3I,Kai Greene,38,0.0
39,https://www.youtube.com/watch?v=LgewSWCJ_x4,LgewSWCJ_x4,Kai Greene,39,0.0
40,https://www.youtube.com/watch?v=APwDjOh7A34,APwDjOh7A34,Kai Greene,40,0.0
41,https://www.youtube.com/watch?v=F6Xa_W23iq8,F6Xa_W23iq8,Kacey Ainsworth,41,0.0
42,https://www.youtube.com/watch?v=NG25q4LCk-E,NG25q4LCk-E,Kacey Ainsworth,42,0.0
43,https://www.youtube.com/watch?v=bgjmQnTy8LU,bgjmQnTy8LU,Kabir Bedi,43,0.0
